codigo,nome,unidade,frequencia,primeiro_valor,ultimo_valor,origem
116,Fundo de aplicações financeiras - Aplicações em títulos de desenvolvimento econômico,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
105,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Aquisição de outros bens - Pessoa física - Taxa total,% a.d.,D,1994-07-04,2012-12-31 00:00:00,Sisbacen PESP300
118,Fundo de aplicações financeiras - Aplicações em letras hipotecárias,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
120,Fundo de comodities - Aplicações em CDB/RDB,u.m.c. (mil),M,1992-12-31,1995-11-01 00:00:00,Sisbacen PESP300
119,Fundo de comodities - Aplicações em export notes,u.m.c. (mil),M,1992-12-31,1995-12-01 00:00:00,Sisbacen PESP300
121,Fundo de comodities - Aplicações em Warrants,u.m.c. (mil),M,1992-12-31,1995-11-01 00:00:00,Sisbacen PESP300
123,Fundo de comodities - Aplicações em títulos federais,u.m.c. (mil),M,1992-12-31,1995-12-01 00:00:00,Sisbacen PESP300
122,Fundo de comodities - Aplicações em certificados de mercadorias,u.m.c. (mil),M,1992-12-31,1995-12-01 00:00:00,Sisbacen PESP300
128,Fundo de comodities - Aplicações em ações,u.m.c. (mil),M,1992-12-31,1995-11-01 00:00:00,Sisbacen PESP300
125,Fundo de comodities - Aplicações em títulos privados,u.m.c. (mil),M,1992-12-31,1995-12-01 00:00:00,Sisbacen PESP300
126,Fundo de comodities - Aplicações em quotas FAF,u.m.c. (mil),M,1992-12-31,1995-12-01 00:00:00,Sisbacen PESP300
110,Fundo de aplicações financeiras - Aplicações em depósitos inst. títulos TDE,u.m.c. (mil),M,1991-04-30,1995-11-01 00:00:00,Sisbacen PFAF300
129,Fundo de comodities - Aplicações em ouro,u.m.c. (mil),M,1992-12-31,1995-11-01 00:00:00,Sisbacen PESP300
130,Fundo mútuo de renda fixa - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
131,Fundo mútuo de renda fixa - Aplicações em títulos do Banco Central,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
133,Fundo mútuo de renda fixa - Aplicações em ações,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
132,Fundo mútuo de renda fixa - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
137,Fundo mútuo de renda fixa - Aplicações em quotas de fundos,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
134,Fundo mútuo de renda fixa - Aplicações em debêntures,u.m.c. (mil),M,1993-05-31,1995-11-01 00:00:00,Sisbacen PESP300
124,Fundo de comodities - Aplicações em títulos estaduais ou municipais,u.m.c. (mil),M,1992-12-31,1995-12-01 00:00:00,Sisbacen PESP300
